"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000109670.12",1598.74373071647,-1.04219946680699,0.0650580226149002,-16.0195380203316,9.33411780715016e-58,3.76300796291072e-56
"ENSG00000085644.12",2156.85948431047,1.09521250664956,0.0701366909822984,15.6154003177306,5.71850710335125e-55,2.08424535214249e-53
"ENSG00000135931.16",1258.20202088504,1.08534363970956,0.0696857500014838,15.5748289956906,1.0794133257489e-54,3.86205092841908e-53
"ENSG00000155755.17",1871.32926328576,-1.02036012836671,0.0691661743154038,-14.752299638748,2.97357100049693e-49,8.77458906572753e-48
"ENSG00000197620.9",1217.65691844481,1.07765075158682,0.0748986417954425,14.388121409865,6.14422548176633e-47,1.65497064654729e-45
"ENSG00000006652.12",2463.74730135509,-1.07054219975454,0.0744124536678398,-14.3865999169063,6.28086504326265e-47,1.68859699832487e-45
"ENSG00000148730.6",14583.8650313256,-1.04319866108758,0.0732101220512271,-14.2493774338694,4.52295379635484e-46,1.17479141709918e-44
"ENSG00000127580.14",900.749664353016,1.07680956599726,0.0762907619222327,14.1145472776234,3.08993896190269e-45,7.76736120194918e-44
"ENSG00000160991.14",2809.10913245744,1.0216905686288,0.0771377736743113,13.2450098046977,4.82218867856199e-40,9.94909519048818e-39
"ENSG00000104976.10",1461.70121538647,1.05705499801031,0.0810429381716415,13.0431475197946,6.95264150231636e-39,1.36120229321456e-37
"ENSG00000090565.14",3719.75382281533,1.02453995158744,0.0785772546251778,13.0386325721687,7.37682148754404e-39,1.44227609548134e-37
"ENSG00000078070.10",2475.61383697595,-1.11147175178251,0.0868609149008465,-12.7959940676572,1.72629252161314e-37,3.16880587496623e-36
"ENSG00000167972.12",6297.8167317077,1.45059128339884,0.115477877804258,12.561637873686,3.43154795289996e-36,5.98430184231356e-35
"ENSG00000159363.16",4304.10420391701,1.0414243719007,0.0835367671253795,12.4666587867548,1.13485460870312e-35,1.92893834618641e-34
"ENSG00000178467.16",2451.77024126403,1.07226353362169,0.0874033891910484,12.2679857559975,1.34559193655484e-34,2.181759433383e-33
"ENSG00000119326.13",1650.26753287817,-1.17612457638869,0.0965041549451083,-12.1872947030899,3.63281858321526e-34,5.78757201745258e-33
"ENSG00000025434.17",1699.88706939421,-1.08749697901306,0.0892443845072773,-12.1856068033544,3.70882466308561e-34,5.89990318301522e-33
"ENSG00000260136.4",92.6589525292164,1.03804573220808,0.0852467169656651,12.1769584701564,4.1237523855412e-34,6.55025189320058e-33
"ENSG00000187535.12",2835.05023185276,1.08063426334599,0.089780447398451,12.0364098716291,2.28693376784635e-33,3.5396359525048e-32
"ENSG00000009413.14",2342.71750713498,-1.08806689797209,0.0904786360359313,-12.0256775040242,2.60442956351876e-33,4.02379213061094e-32
"ENSG00000269343.5",1111.32990735419,1.11746498530106,0.0942219460066537,11.8599225834515,1.91151782720532e-32,2.84179424899793e-31
"ENSG00000126878.11",4725.94957636216,-1.78537284116079,0.150576378027113,-11.856925133631,1.98117861366633e-32,2.94230037280401e-31
"ENSG00000117480.14",1766.79463695016,1.09983838629652,0.0940405778121417,11.6953597253899,1.34615573466882e-31,1.92400787177116e-30
"ENSG00000260077.1",214.581199025337,-1.02228133717222,0.0887523196326735,-11.5183619020125,1.06618643393843e-30,1.4700293686945e-29
"ENSG00000082512.13",2457.3671843574,1.07185448759104,0.0935610003876562,11.4562102067097,2.18884484052619e-30,2.9702292423512e-29
"ENSG00000015133.17",3939.33023720928,1.0337095433912,0.0910857975904555,11.3487455864307,7.52342834671573e-30,9.89944295902395e-29
"ENSG00000174586.9",228.406777725807,1.04255858884029,0.0919821992207025,11.3343516209997,8.86864407867968e-30,1.16302759168635e-28
