"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000099953",17588.5409205955,6.57440337129303,0.151903133816422,43.2802352796641,0,0
"ENSG00000123500",8951.48198819157,7.59790125220182,0.163782028311945,46.3903233493395,0,0
"ENSG00000060718",12861.9696720914,6.50869349256818,0.178605995535091,36.4416293701036,9.33556915754008e-291,1.35440437337591e-286
"ENSG00000230838",324.623319104706,5.94272162494475,0.167543540321624,35.4697149978856,1.44094002496554e-275,1.567886841165e-271
"ENSG00000119927",8102.5052090063,-4.34169933153105,0.125980533340619,-34.4632556824649,2.85080901045915e-260,2.48157222742448e-256
"ENSG00000117650",1588.60101646258,3.6746837754366,0.109953387631057,33.4203779856862,6.93558164930105e-245,5.03107092840298e-241
"ENSG00000133800",1316.34236565365,-5.16364413331892,0.158433235853363,-32.5919249550523,5.33743613449484e-233,3.31866529025362e-229
"ENSG00000105974",12271.725363497,-3.41981806728179,0.105899948471621,-32.2929153095691,8.79515360216311e-229,4.78500331725684e-225
"ENSG00000203805",446.43364698642,5.30148746576312,0.164407641253779,32.2459918853757,4.0038657939527e-228,1.93626949795553e-224
"ENSG00000155886",309.035791137737,5.57138525324417,0.173454959473752,32.1200689224873,2.31307521004163e-226,1.00674285441852e-222
"ENSG00000101605",487.052818053894,-3.66891682941459,0.116454881085845,-31.5050498116092,7.40773183402421e-218,2.93103745767336e-214
"ENSG00000022267",16075.9913513003,-4.99170843308105,0.159643458507141,-31.267854503777,1.2769125931921e-214,4.63136197550775e-211
"ENSG00000090889",1749.71177075791,3.18553859894243,0.101914174609314,31.257071071361,1.78944588834954e-214,5.99106483419426e-211
"ENSG00000158186",3792.96335215543,-2.80870195181843,0.0904588968581025,-31.0494826863108,1.15934939946354e-211,3.60425166158936e-208
"ENSG00000105971",3729.37621732365,-3.12419035795033,0.102227423588889,-30.5611767201957,4.01723217284963e-205,1.16564008727405e-201
"ENSG00000169418",1723.78710939293,-3.72158155384178,0.122133035644912,-30.4715389590567,6.21121884482983e-204,1.68960680626484e-200
"ENSG00000025423",310.642199961662,3.09253663523798,0.101574213077706,30.4460801765911,1.34992672436599e-203,3.45613004419444e-200
"ENSG00000068976",152.841596895201,-3.71511845771994,0.12214095660865,-30.4166477885342,3.30912274279309e-203,8.00145879207368e-200
"ENSG00000165028",229.337613513921,-3.1777831755692,0.104706945869324,-30.3493063347976,2.56598781688611e-202,5.87800282853427e-199
"ENSG00000122641",4553.99109210399,3.64996836125039,0.120323330607705,30.3346686200912,4.00267247436858e-202,8.71061583872089e-199
"ENSG00000029559",171.950858722657,6.82495918781386,0.226383628850852,30.1477594579524,1.14767039282052e-199,2.37862886557716e-196
"ENSG00000079308",21237.8305466461,-2.96986743051315,0.0991645237183077,-29.9488901792089,4.54876787596676e-197,8.9991169560717e-194
"ENSG00000088325",5130.57609608215,2.77076712956865,0.0928795919087656,29.8318185149903,1.51120558200003e-195,2.85972659786822e-192
"ENSG00000148180",47698.6264147371,-2.66339262885394,0.08995384719573,-29.6084349017189,1.16374248832374e-192,2.11044700257509e-189
"ENSG00000104415",1035.31416088894,3.75021535101649,0.126723529203547,29.5936782583823,1.80209651058173e-192,3.13737794106237e-189
"ENSG00000279204",141.25448378624,-3.64183735153877,0.124506715530573,-29.2501278828169,4.47347802728579e-188,7.48860221767641e-185
"ENSG00000173641",1738.11613405704,-5.16547787228151,0.176847707834206,-29.208622127713,1.50709668204875e-187,2.42943985146259e-184
"ENSG00000245812",77.9079518345832,-3.38772330974491,0.117320515130446,-28.8757964110384,2.40433171728126e-183,3.73736191653392e-180
"ENSG00000138640",2092.84495554716,-2.70770237618954,0.0938873562874375,-28.8399043626265,6.78205491031169e-183,1.01786951005657e-179
"ENSG00000109846",10458.1308602467,-4.36803060036444,0.151963485141377,-28.7439485630426,1.07808575867734e-181,1.56408681868908e-178
"ENSG00000134962",626.677889254983,-4.65681534899173,0.162113484401277,-28.7256508376859,1.82504335346017e-181,2.56236086825809e-178
"ENSG00000261742",55.5152138488979,5.11295073550861,0.178062780142235,28.7143148693086,2.52834847991951e-181,3.43886997625052e-178
"ENSG00000124743",439.550522303949,-4.16683928136764,0.145148946384039,-28.7073339846566,3.09020004022185e-181,4.07569292577623e-178
"ENSG00000135437",240.859433484732,-4.31129660509395,0.150374426527632,-28.6704109511716,8.92449669142907e-181,1.14244057058164e-177
"ENSG00000120049",1725.55510215013,-5.07666616655689,0.177145532029432,-28.6581665842604,1.26822342083522e-180,1.57709017624092e-177
"ENSG00000165474",2463.02721725031,4.47502764829817,0.15629109397126,28.6326465225273,2.63672685601007e-180,3.18780276891618e-177
"ENSG00000170145",4966.05261526167,-2.50138097460636,0.0874043058726615,-28.6185096904791,3.95391396576908e-180,4.65108517421983e-177
"ENSG00000127564",1083.35082338764,3.40692283286503,0.119329296060912,28.5505985984024,2.76129336096819e-179,3.16269821691525e-176
"ENSG00000131471",7399.42449931299,-3.89068815506992,0.136439029880981,-28.5159470751431,7.43078871978055e-179,8.29276021127509e-176
"ENSG00000123612",1011.93948423381,-5.27346803637028,0.185935526705338,-28.3618097617646,5.98562510100815e-177,6.51295867240697e-174
"ENSG00000164330",1564.92734794453,-3.03284813961245,0.10761479955777,-28.1824447202017,9.59795783918114e-175,1.01888174876224e-171
"ENSG00000163815",1336.68704219438,-3.86681281378842,0.137304558197568,-28.1623047664919,1.69395947606226e-174,1.75542600562223e-171
"ENSG00000172901",263.560072040281,-5.1783277557203,0.184311128981761,-28.0955782991961,1.10937266055532e-173,1.12289152739557e-170
"ENSG00000077152",1443.45507497851,2.52327787293416,0.0898797476973926,28.0739314203411,2.03910461776666e-173,2.01704521326537e-170
"ENSG00000145708",94.6997270353268,-4.02228525245237,0.143636005538933,-28.0033215721953,1.48029413238579e-172,1.43174048484353e-169
"ENSG00000266964",97.1222713751068,-3.9644154682436,0.141658761702201,-27.9856707810117,2.42782239753208e-172,2.29714221804753e-169
"ENSG00000170509",117.586869152941,-5.19490613354726,0.185932165663607,-27.9397925313579,8.77154035304331e-172,8.12281962395441e-169
"ENSG00000144031",86.9746790014175,-3.02989488043363,0.108530505305851,-27.917449309713,1.63843362337198e-171,1.48564968799255e-168
"ENSG00000181856",518.150793269677,-4.75078674901983,0.170382687109741,-27.8830368836707,4.28485190727077e-171,3.80599784514394e-168
"ENSG00000143228",1117.04783412248,3.10396128852056,0.111460052311184,27.8481951529563,1.13273417711883e-170,9.860224464984e-168
"ENSG00000165810",1521.15665650351,-4.18584963420083,0.150941046227676,-27.7316855740287,2.89801268322404e-169,2.47319811813025e-166
"ENSG00000149090",1047.02984841281,-3.33254034847929,0.120219257086992,-27.7205202330258,3.95111680546032e-169,3.30708476617029e-166
"ENSG00000123243",4601.27352859413,-3.99867994899659,0.144428762114523,-27.686174765009,1.0244277520748e-168,8.41267801534031e-166
"ENSG00000137745",1728.71711367304,6.20746491585396,0.225143519361591,27.5711463223797,2.46892642294845e-167,1.98995469689645e-164
"ENSG00000105011",1610.4169190737,2.59622039336591,0.0942591058484754,27.5434438932554,5.3025617912448e-167,4.19615817094797e-164
"ENSG00000095637",10092.0329800694,-3.47662845123168,0.126259203083541,-27.5356438685211,6.57504664306577e-167,5.11022018022847e-164
"ENSG00000165197",406.914745857993,-5.01381664307147,0.182327768228603,-27.4989196203243,1.80864717778375e-166,1.38104490817298e-163
"ENSG00000166803",1150.33993616337,2.96295821831394,0.108153688087767,27.3958130388441,3.07635294715739e-165,2.30853768400135e-162
"ENSG00000172061",7791.95214989262,4.19372129836202,0.153141326601229,27.3846478376292,4.17856871990178e-165,3.08250889771195e-162
"ENSG00000198947",2331.04902332527,-3.57405996819477,0.13071042548498,-27.3433427741804,1.29584204088792e-164,9.40003816460095e-162
"ENSG00000186642",1150.01407020857,-3.05164513867835,0.111641053076375,-27.3344352689927,1.65368636466587e-164,1.17991877599536e-161
"ENSG00000167779",1451.52296189511,-3.36712729470546,0.123424178657878,-27.2809374250636,7.1410737928032e-164,5.01303380254785e-161
"ENSG00000056998",3655.32999163652,-4.17121757348238,0.152913291784786,-27.2783191362661,7.67052318353584e-164,5.29923573079705e-161
"ENSG00000183549",323.141885593634,-3.79311774804124,0.139102162829143,-27.2685749156918,1.00091495811759e-163,6.80684728704844e-161
"ENSG00000152465",1284.33879659414,-2.21692365480647,0.0813310045025833,-27.2580385348131,1.33449982399271e-163,8.9358108214552e-161
"ENSG00000168477",3764.86368287204,-4.15906916924845,0.152591479086359,-27.2562347134378,1.4018454744941e-163,9.24453370180016e-161
"ENSG00000164849",135.451019385209,-2.88516518776185,0.105958032903319,-27.2293200308316,2.92123240292778e-163,1.89766744932879e-160
"ENSG00000136158",1263.06412211279,-2.67401775312616,0.0984218998901223,-27.1689304525865,1.51312720679635e-162,9.68490419832417e-160
"ENSG00000183856",2411.29451912833,2.96286205004672,0.109264855718272,27.1163315099793,6.32041482845669e-162,3.98680775353259e-159
"ENSG00000231367",279.032734038458,-4.04868415652696,0.149656050084473,-27.0532608220094,3.49655714481196e-161,2.17405933101137e-158
