"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000099953.8",17705.3894435364,6.4871497830767,0.172674333384357,37.5686974197659,0,0
"ENSG00000123500.8",9219.83434631512,7.51508300292756,0.185139691215361,40.591420205977,0,0
"ENSG00000060718.17",13165.2235779957,6.60559151624293,0.199989258559563,33.0297315156833,3.04086262325689e-239,4.35198122431781e-235
"ENSG00000119927.12",8280.0969891419,-4.44748641602456,0.137341721453028,-32.3826319414936,4.82003274229013e-230,5.17370264475567e-226
"ENSG00000230838.1",328.483827106058,5.73086829824726,0.185028174587586,30.9729494495687,1.24747991672146e-210,1.07121100448872e-206
"ENSG00000133800.7",1328.36529377401,-5.1984003518325,0.169852558056955,-30.6053698060254,1.03829712961674e-205,7.42988121001582e-202
"ENSG00000022267.15",17113.1278203917,-5.12235888560804,0.17427056781727,-29.3931382089662,6.72057719153185e-190,4.12211402454886e-186
"ENSG00000117650.11",1577.65345474435,3.57419142947659,0.121716906208012,29.364790322294,1.54710149999069e-189,8.30310036276255e-186
"ENSG00000105974.10",12448.3093012881,-3.45869626216447,0.117990090764897,-29.3134469152681,6.99013203640429e-189,3.33468132203354e-185
"ENSG00000203805.9",448.808965417235,5.38721036943808,0.184032981603408,29.2730700904882,2.28429693550262e-188,9.80762889258049e-185
"ENSG00000169418.9",1749.40424056305,-3.83179678199889,0.131558055699885,-29.1262801172748,1.6688304089759e-186,6.51374850994365e-183
"ENSG00000101605.11",493.422483867831,-3.7534056104467,0.129073372095018,-29.0796277305254,6.49767576607135e-186,2.32481424180228e-182
"ENSG00000158186.11",3783.90190940217,-2.84503265919194,0.0994260917672702,-28.6145478377185,4.42919808923643e-180,1.46282784585666e-176
"ENSG00000068976.12",151.6994312599,-3.78533436549585,0.132410421012398,-28.5878886008634,9.50326132169779e-180,2.91444660605067e-176
"ENSG00000105971.13",3780.86549887968,-3.18127165064893,0.114017664159515,-27.9015683587255,2.55368594393797e-171,7.30950040019844e-168
"ENSG00000135437.8",236.469672220277,-4.41738497164302,0.160069995398638,-27.596583361185,1.22288375899877e-167,3.28153213703826e-164
"ENSG00000155886.10",316.492617392112,5.44649007155426,0.197682979028988,27.5516389843336,4.22973244567571e-167,1.06825625032404e-163
"ENSG00000173641.16",1804.89790423181,-5.35615847452099,0.194851511671887,-27.4884111935467,2.41542565931295e-166,5.76146114903343e-163
"ENSG00000279204.1",141.584920619811,-3.67463809053049,0.133949247550905,-27.4330625794222,1.10651386312547e-165,2.50043014280485e-162
"ENSG00000079308.15",20993.5078467296,-2.96115606719293,0.1084278589648,-27.3099191984805,3.23404697867998e-164,6.94269035148125e-161
"ENSG00000148180.15",47152.8346689418,-2.68472943937705,0.0986677768302491,-27.209789514118,4.97454120579818e-163,1.01705679367117e-159
"ENSG00000165028.10",233.171631458919,-3.18756855687613,0.117222185235981,-27.1925365532063,7.95870516508391e-163,1.55321366483126e-159
"ENSG00000134962.6",625.347236676889,-4.76176793222463,0.17545294304559,-27.1398578420387,3.33574282124591e-162,6.22696165348667e-159
"ENSG00000163815.5",1335.98261390742,-3.91539221450154,0.144785325135206,-27.0427421483855,4.64910972582615e-161,8.31706358659774e-158
"ENSG00000029559.6",174.85176667678,6.69712413128831,0.248622540870661,26.9369145204428,8.11951557659989e-160,1.39444560512527e-156
"ENSG00000109846.6",10291.2298226504,-4.46822353281689,0.166886394271892,-26.7740432185097,6.48268751428087e-158,1.07051610932942e-154
"ENSG00000120049.17",1717.15939567322,-5.17700298950175,0.19371028688223,-26.7254933789304,2.37989639824424e-157,3.7231187191664e-154
"ENSG00000090889.11",1754.70361292125,3.08924157178068,0.115594799632042,26.7247452447191,2.42802664811131e-157,3.7231187191664e-154
"ENSG00000167779.6",1483.64224078343,-3.4629879993486,0.129920895388358,-26.6545884632112,1.58340274300479e-156,2.34425506106588e-153
"ENSG00000025423.10",313.237563597033,3.08399138706977,0.11573870228848,26.6461548824254,1.98307723299705e-156,2.76354288926538e-153
"ENSG00000131471.5",7403.55879642845,-3.96881567856624,0.148946446532758,-26.6459238938162,1.99533782618439e-156,2.76354288926538e-153
"ENSG00000168497.4",2024.31223144935,-4.08272975578357,0.153337392183835,-26.6257936021816,3.41355619542744e-156,4.58003235158366e-153
"ENSG00000186642.14",1140.96444606301,-3.10702640430258,0.116895969907397,-26.5794142155962,1.17435669200267e-155,1.52790922942832e-152
"ENSG00000122641.9",4645.79429117341,3.60248261152662,0.13561717704385,26.5636159817852,1.78799770398374e-155,2.25787298295712e-152
"ENSG00000181856.13",534.251390309085,-4.89040691660592,0.184239678470906,-26.5437225965317,3.03461885101187e-155,3.72261029623413e-152
"ENSG00000245812.2",76.3051331767318,-3.39671108638952,0.128491014603924,-26.4353978125237,5.37121638450679e-154,6.40592154079998e-151
"ENSG00000165474.5",2439.07105976446,4.51206793258694,0.171379689436684,26.3279035422335,9.19268958680588e-153,1.06672466867435e-149
"ENSG00000172901.18",263.461578483426,-5.26545746909402,0.200077263239606,-26.3171206154908,1.2214829544982e-152,1.38011501714158e-149
"ENSG00000124743.5",470.231714585192,-4.28705391214998,0.163218474212151,-26.2657394197773,4.72515067554283e-152,5.20190626293413e-149
"ENSG00000170509.10",119.05569491439,-5.28839269607227,0.202406085954378,-26.1276367809625,1.7697132661746e-150,1.89956597708016e-147
"ENSG00000104415.12",1055.30551552987,3.67077217580938,0.140658354553152,26.0970788935417,3.93504716069492e-150,4.12076219132772e-147
"ENSG00000165197.4",423.547741696651,-5.19372029241957,0.199173943591349,-26.0763039520655,6.77111934141994e-150,6.92185735533012e-147
"ENSG00000123612.14",1019.53253198555,-5.34192135738802,0.205107586771466,-26.0444844653166,1.55352587836868e-149,1.55117752529673e-146
"ENSG00000261742.4",56.2792474525801,5.19764137228444,0.199760546504037,26.0193589937911,2.99083845425683e-149,2.91844656894356e-146
"ENSG00000164330.15",1600.00170456701,-3.08234123782061,0.118873485336282,-25.9295942160773,3.08949457975138e-148,2.94772110625835e-145
"ENSG00000135424.14",2579.99561303188,-3.98273669129396,0.153715603080117,-25.9097750097507,5.16795711392542e-148,4.82361388448669e-145
"ENSG00000123243.13",4542.99056217634,-4.0428840848052,0.156255730460121,-25.873509233231,1.32348632380849e-147,1.2090188364408e-144
"ENSG00000145708.9",97.4928929813424,-4.0588058441985,0.157781765609193,-25.7241755948637,6.27196972783233e-146,5.61014625551002e-143
"ENSG00000088325.14",5125.09400553882,2.69867295821116,0.10518644780601,25.6560898718454,3.61567631155538e-145,3.1681441313598e-142
"ENSG00000138640.13",2076.30751808958,-2.66079070346553,0.103764648981774,-25.6425548544273,5.11905089937447e-145,4.39572900729285e-142
"ENSG00000168874.11",366.007297045556,-3.79264814553938,0.148078781893908,-25.6123672617502,1.11092132408731e-144,9.35243275484088e-142
"ENSG00000168477.16",3813.51128797568,-4.21275649652327,0.164643414053016,-25.5871546441981,2.12040809805482e-144,1.75076387865353e-141
"ENSG00000056998.17",3720.28241768987,-4.28015883719123,0.16732551934022,-25.5798329750793,2.55795411499507e-144,2.07218414957195e-141
"ENSG00000136158.9",1232.23135757327,-2.6813442402284,0.104915286157772,-25.5572313475481,4.56299626980632e-144,3.62800453415064e-141
"ENSG00000266964.4",99.5143936268865,-4.02648693573413,0.157650948893332,-25.540518239814,6.9980585068211e-144,5.46293894527934e-141
"ENSG00000170145.4",4958.54001187282,-2.48548785864318,0.0976458009442722,-25.4541192207711,6.355809007309e-143,4.87297606658593e-140
"ENSG00000227467.3",43.9826478771104,-3.77601788295493,0.149955899058647,-25.1808558826896,6.49293866094146e-140,4.89077756855301e-137
"ENSG00000165810.15",1503.72639195852,-4.20953161670765,0.167217049495739,-25.1740574863744,7.70716741626211e-140,5.70529712098644e-137
"ENSG00000004776.10",3222.19408287066,-4.80502637071363,0.191176421861096,-25.1339904991256,2.11488294410728e-139,1.53902541025841e-136
"ENSG00000127564.15",1069.22948752258,3.37215406967044,0.134366123882881,25.0967578153089,5.39563370223226e-139,3.86102555008903e-136
"ENSG00000095637.19",10098.1570411995,-3.48888013945718,0.139334361017401,-25.0396249279922,2.26481938974459e-138,1.59409869669974e-135
"ENSG00000152465.16",1273.05974358477,-2.23342324111515,0.089418257017959,-24.9772620894029,1.08003474323859e-137,7.47924059692724e-135
"ENSG00000164849.8",133.219384693957,-2.9170948822361,0.116797454379965,-24.9756717534802,1.12386951368215e-137,7.65925993173699e-135
"ENSG00000149090.10",1050.52618890753,-3.33214182308796,0.133901187202316,-24.8850805038293,1.07927407474537e-136,7.24041131237379e-134
"ENSG00000175445.13",14391.1928258017,-5.11043674090662,0.20547125798114,-24.8717839717305,1.50323324034258e-136,9.92943371909366e-134
"ENSG00000183549.9",319.462942359613,-3.780703263529,0.152423137813272,-24.8039983808796,8.11723643706397e-136,5.28050827917184e-133
"ENSG00000179921.13",83.9799210067876,-3.42388519990059,0.13813848273029,-24.785889726222,1.27269375602895e-135,8.07477162662742e-133
"ENSG00000105011.7",1587.3089645268,2.58966717006794,0.104482331907937,24.7856946028902,1.27887381066884e-135,8.07477162662742e-133
"ENSG00000144031.10",87.0027541640902,-3.03012043618949,0.122365005326846,-24.7629657523066,2.2478773575224e-135,1.39873354123514e-132
"ENSG00000077152.8",1425.62181789713,2.45252952779711,0.0996808916148109,24.6038080926706,1.1500360352552e-133,7.05382816766885e-131
"ENSG00000079435.8",5887.47784265376,-4.61978101162347,0.188548641872522,-24.5017994600401,1.41332788106251e-132,8.5466524751294e-130
"ENSG00000101441.4",316.228494032421,9.51622721286659,0.388609333996226,24.4879018087585,1.98761118835349e-132,1.18525119961052e-129
"ENSG00000198947.13",2329.19743429578,-3.56966335780346,0.145798892634161,-24.4834737309046,2.21563332198998e-132,1.30312625588548e-129
"ENSG00000244734.2",3154.02256685379,-5.15890516263751,0.210822359181732,-24.4703891117662,3.05366470429671e-132,1.7717445145808e-129
"ENSG00000164879.6",549.569852249557,-5.13956418985834,0.210174929326628,-24.4537452983798,4.59129734833314e-132,2.62836468867578e-129
"ENSG00000077616.9",154.565880415789,-3.15154813843438,0.128982108075594,-24.4339946482137,7.44654579592616e-132,4.2068084703696e-129
"ENSG00000172061.8",7933.72091507647,4.16436387087023,0.170834846961019,24.3765481396219,3.03286838185847e-131,1.69111953214407e-128
"ENSG00000173208.3",352.616845742661,-4.56229712988516,0.188109163563807,-24.253454980345,6.07984720133652e-130,3.34664409729979e-127
"ENSG00000135046.12",15665.0958300039,-2.7102430233571,0.111947549297141,-24.2099361743359,1.74843099352863e-129,9.46362742430257e-127
"ENSG00000280339.1",433.722346272632,-3.50400263023411,0.14473616462587,-24.2095860374057,1.7633403841719e-129,9.46362742430257e-127
"ENSG00000231367.4",276.206387559661,-3.98552701084688,0.164906839688506,-24.1683548018699,4.78865635954632e-129,2.53828346663113e-126
"ENSG00000170373.7",754.016054562516,7.38965965191787,0.306148565225255,24.1374956190985,1.01033061436901e-128,5.29006645462602e-126
"ENSG00000137745.10",1715.02328197113,5.98906648131342,0.249241267273771,24.0291928653008,1.37777056226579e-127,7.127057721793e-125
"ENSG00000261039.2",139.239749340122,3.94329203323662,0.164392545093374,23.9870489929872,3.79624038047001e-127,1.94037596113667e-124
"ENSG00000144908.12",916.903342231487,-5.43687086891805,0.226727699022965,-23.9797382161381,4.52515675243837e-127,2.28573653136402e-124
"ENSG00000143228.11",1091.43645192355,2.92942820811397,0.122223792159537,23.9677411112415,6.03614997878454e-127,3.01351278301296e-124
"ENSG00000099260.9",3312.45967782565,-3.03200218144223,0.127325819533262,-23.8129406318108,2.45294553537283e-125,1.21054271909463e-122
"ENSG00000124493.12",414.985508338084,5.67027079585689,0.238315152341856,23.793161031251,3.93115179594802e-125,1.91800002680714e-122
"ENSG00000166803.9",1144.33994940451,2.87713103131795,0.121074364583511,23.7633378561607,7.99906916428084e-125,3.85887679290335e-122
"ENSG00000182253.13",8502.9793600995,-3.88343474228789,0.163626924044701,-23.7334703011772,1.62791506866174e-124,7.76605927477685e-122
"ENSG00000176438.11",1827.3727858833,-3.07509858983574,0.129823560429636,-23.6867528487054,4.93789693991706e-124,2.32976489137735e-121
"ENSG00000160307.8",1337.57901823932,-4.62852991089372,0.195806235021085,-23.6383172905362,1.55659727430975e-123,7.26440260570533e-121
"ENSG00000166851.13",1898.59490486108,2.53120646779835,0.107429898123725,23.5614713595206,9.57640889594977e-123,4.42110877363014e-120
"ENSG00000162407.8",5462.93700994851,-1.99432685007175,0.0846959944021368,-23.5468851171718,1.35107635868501e-122,6.17111313405756e-120
"ENSG00000076555.14",5638.9922693101,-3.60883881062937,0.153357270519802,-23.5322316209546,1.90876929332728e-122,8.62663259042178e-120
"ENSG00000211445.10",13337.0836221637,-4.04071569180728,0.172085818208239,-23.4808175007057,6.4058097253057e-122,2.86493167245833e-119
"ENSG00000134548.8",540.524099915372,-6.33621338057021,0.27043184854842,-23.4299821362784,2.11518772115409e-121,9.36243142347945e-119
"ENSG00000137804.11",2768.89541476255,2.44845414551231,0.104570681321334,23.4143463021772,3.05272243324484e-121,1.33743507827926e-118
"ENSG00000138180.14",1532.26008323455,2.55925904596619,0.109385650337363,23.3966616103028,4.62143731521382e-121,2.00425667806773e-118
"ENSG00000132170.18",1502.36735384,-3.54873657077434,0.151711053532886,-23.3914173564493,5.22582878438731e-121,2.24370958857669e-118
"ENSG00000124440.14",229.975979795451,-5.15215216458426,0.22066351951241,-23.3484545880929,1.42888892090139e-120,6.07419265533676e-118
"ENSG00000170369.3",157.085788054305,5.60560143927328,0.240236318934148,23.3336968537628,2.01776108480077e-120,8.49338942901188e-118
"ENSG00000189129.12",634.952499601432,-3.39245350286075,0.145445261168649,-23.3246066293427,2.49538738003047e-120,1.03181561823426e-117
