"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000117650",1588.60101646258,4.96530023482357,0.125748817410927,39.4858602812762,0,0,"NEK2"
"ENSG00000138180",1552.30056703277,4.62138587379831,0.111197052296303,41.5603271702189,0,0,"CEP55"
"ENSG00000111206",2940.51557736988,4.82727544857407,0.119240389874823,40.4835597538861,0,0,"FOXM1"
"ENSG00000175063",2583.29026096379,5.34510253602028,0.13859180073742,38.567234912744,0,0,"UBE2C"
"ENSG00000143228",1117.04783412248,4.8918532604234,0.127440035315843,38.3855296987294,0,0,"NUF2"
"ENSG00000077152",1443.45507497851,4.07545687348196,0.102814942003763,39.6387606125653,0,0,"UBE2T"
"ENSG00000123485",977.500201618662,4.65125782954398,0.117534741554942,39.5734722177419,0,0,"HJURP"
"ENSG00000088325",5130.57609608215,4.7028388408779,0.10639364058978,44.202255086002,0,0,"TPX2"
"ENSG00000154839",551.185101924268,4.6147010245919,0.118009437326596,39.1045083269105,0,0,"SKA1"
"ENSG00000117724",7236.01248156983,4.29964101949355,0.114284015112446,37.6224182818836,0,0,"CENPF"
"ENSG00000183856",2411.29451912833,4.80779693645096,0.125111675171136,38.4280438246432,0,0,"IQGAP3"
"ENSG00000111665",966.051259001735,4.2697601054109,0.10491164896547,40.6986273451506,0,0,"CDCA3"
"ENSG00000142945",1798.11315874491,4.59784551435665,0.113219279786501,40.6100932900021,0,0,"KIF2C"
"ENSG00000112742",1081.15820723468,4.20257483635944,0.110742621827485,37.9490278179092,0,0,"TTK"
"ENSG00000090889",1749.71177075791,4.70955462697341,0.11659250600442,40.3932875994179,0,0,"KIF4A"
"ENSG00000117399",2512.80351844818,4.92688999047028,0.124541946264554,39.5600850817323,0,0,"CDC20"
"ENSG00000115163",496.426893212803,4.66261979726727,0.116677430716764,39.9616255570955,0,0,"CENPA"
"ENSG00000166851",1914.93252537163,4.51641874780847,0.110754322773324,40.7787130535032,0,0,"PLK1"
"ENSG00000174371",945.703430630208,4.64121670958731,0.123616209856609,37.5453730135472,0,0,"EXO1"
"ENSG00000169679",1756.33021818723,4.46520358096073,0.110413189638019,40.4408530864797,0,0,"BUB1"
"ENSG00000080986",1023.28575460429,4.42545775948981,0.107839152471185,41.0375791915864,0,0,"NDC80"
"ENSG00000157456",1573.20345365386,4.16696611656507,0.109199837596243,38.1590871221995,0,0,"CCNB2"
"ENSG00000011426",2994.45406914255,4.51346863313531,0.118942226633477,37.9467306177447,0,0,"ANLN"
"ENSG00000134690",1496.79308559782,4.31174564511969,0.0970115818635938,44.4456791889278,0,0,"CDCA8"
"ENSG00000237649",2162.67520210153,4.24842522328058,0.109545714666374,38.7822128525914,0,0,"KIFC1"
"ENSG00000165304",1387.07809833005,4.89795127180815,0.123603279054476,39.62638620331,0,0,"MELK"
"ENSG00000109805",1245.54162962001,4.1009867473506,0.109372494475106,37.4955949119731,1.08662854003998e-307,1.75164520654444e-304,"NCAPG"
"ENSG00000178999",834.813216334203,4.65713854931195,0.124587164339732,37.3805646351545,8.08552631205408e-306,1.25683731144943e-302,"AURKB"
"ENSG00000075218",802.968420685038,4.16411162450288,0.111889008324104,37.2164494696464,3.69863827418158e-303,5.55101835329239e-300,"GTSE1"
"ENSG00000184661",659.028156849905,4.55611303483106,0.12285685602821,37.0847275611944,4.95244530969847e-301,7.18500765531054e-298,"CDCA2"
"ENSG00000164611",1437.25606370626,4.1791852606119,0.113163381301154,36.9305442499117,1.49517943784407e-298,2.09923193073307e-295,"PTTG1"
"ENSG00000146670",1764.26941366891,4.09558099346845,0.11118253716606,36.8365491367711,4.80222318509581e-297,6.53162380962844e-294,"CDCA5"
"ENSG00000106462",1601.52246314948,3.3155801892788,0.0902056890710555,36.7557769739678,9.40076857239375e-296,1.23987591316626e-292,"EZH2"
"ENSG00000137807",1775.70235228173,3.56039258462943,0.0971679873046526,36.6416212107642,6.2220242019163e-294,7.96492298130015e-291,"KIF23"
"ENSG00000112984",1883.23023019913,4.37799391218808,0.120039559856158,36.4712592868066,3.16710780376363e-291,3.93843428717167e-288,"KIF20A"
"ENSG00000165480",666.645264026491,4.18864350245675,0.115060977500873,36.40368431969,3.72231741721819e-290,4.5002817574168e-287,"SKA3"
"ENSG00000145386",1575.10398434402,3.95491428116624,0.109789541196983,36.0226870250819,3.69310185037994e-284,4.34428553880909e-281,"CCNA2"
"ENSG00000186185",733.07529832158,4.65499967383822,0.129788840287517,35.8659470531224,1.03766873508613e-281,1.18851300068129e-278,"KIF18B"
"ENSG00000169607",790.230803355121,4.2341243998012,0.118084459036688,35.8567455391033,1.44370317977968e-281,1.61117274863412e-278,"CKAP2L"
"ENSG00000129810",409.865530957023,4.27082286947344,0.119197018810016,35.8299470247704,3.77540020436837e-281,4.10801296237322e-278,"SGO1"
"ENSG00000065328",942.685318235349,4.48056887924676,0.125222124575392,35.7809683747152,2.18363313638116e-280,2.31805972263058e-277,"MCM10"
