"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000112679.13",2136.30229784767,-1.15593614555813,0.0653827035083265,-17.6795403605623,6.02856670748939e-70,2.56342352445054e-68
"ENSG00000142961.13",1241.2142861913,-1.13955781566006,0.0649701385196695,-17.5397165778716,7.12820097956975e-69,2.93725972323096e-67
"ENSG00000140299.10",4018.84111043166,-1.06936470726804,0.0615493398482817,-17.3741052284884,1.29612227250455e-67,5.18531464560578e-66
"ENSG00000103591.11",4663.64042593601,1.03425980952444,0.0597434730334303,17.3116786991226,3.84052661538549e-67,1.51985988927681e-65
"ENSG00000188827.9",968.470873483216,1.17169654591588,0.0702323938518226,16.6831355398186,1.73849387659783e-62,5.97159064627942e-61
"ENSG00000138363.13",6952.00970451926,1.08948405988963,0.0666912169831416,16.3362449985735,5.4508142942831e-60,1.73036788503065e-58
"ENSG00000103264.14",2085.71399760873,-1.10616767155994,0.067784289491538,-16.3189387962535,7.23829547837354e-60,2.28789458876815e-58
"ENSG00000145293.13",3091.59390467997,1.07932866747005,0.0679024365038467,15.8952862819423,6.83156567863874e-57,1.979983178594e-55
"ENSG00000198056.12",680.3799230764,1.29267497054723,0.0819702806371828,15.770044466102,5.00145586805882e-56,1.41778858898093e-54
"ENSG00000106638.14",3441.69808988802,1.02859583057343,0.0652734317350486,15.758261872129,6.02678192963063e-56,1.70295322043747e-54
"ENSG00000124067.15",2583.79473832131,-1.35072422519067,0.087137829178113,-15.501008436069,3.41489917226979e-54,9.19993087666579e-53
"ENSG00000147669.9",3921.87266526449,1.31672003881717,0.0866285328217027,15.1996114435785,3.55724722121218e-52,8.99893490075004e-51
"ENSG00000087995.14",1426.19484027427,1.15573197420321,0.0767966316963781,15.049253446069,3.49152174968129e-51,8.53317047071915e-50
"ENSG00000101166.14",6394.54053920366,1.22853591583467,0.0818226373856901,15.0146213210371,5.88972646682543e-51,1.43147376211671e-49
"ENSG00000049239.11",7036.64258224643,-1.19453074547174,0.080185755131873,-14.8970442880686,3.44484803864164e-50,8.18700722783552e-49
"ENSG00000166797.9",2249.91415547019,1.02327593610601,0.0689354757211579,14.8439671359509,7.6118146921099e-50,1.79736120605798e-48
"ENSG00000134291.10",5496.83585800233,1.2444052704618,0.0838754543110496,14.8363461120218,8.52759838974584e-50,2.00498886845965e-48
"ENSG00000102054.16",12359.5318720814,1.48981703001195,0.101399773050292,14.6925085253696,7.1998278768596e-49,1.64529538597654e-47
"ENSG00000149346.13",1221.23689846177,1.12264166707055,0.0766187903202065,14.6523021621561,1.30227335470255e-48,2.95291658515766e-47
"ENSG00000160613.11",1645.01801612733,-1.1210151853905,0.0765237865791521,-14.6492383022759,1.36234380198839e-48,3.08435478589205e-47
"ENSG00000166398.11",2472.85269542832,-1.04516742132526,0.0714079919922937,-14.6365608689578,1.64164512360638e-48,3.710962012833e-47
"ENSG00000143183.15",9517.02176769638,1.05645723785788,0.0724475595978349,14.5823716315967,3.63660268892349e-48,8.16184330903008e-47
"ENSG00000157933.9",6518.8585116576,-1.02028115154031,0.0707204636845928,-14.42695789002,3.50189540588675e-47,7.60334989188261e-46
"ENSG00000124217.4",1029.88641047691,1.13536099312535,0.0788122217538215,14.4059000984869,4.75087814522469e-47,1.02543868144867e-45
"ENSG00000163964.12",2698.77032448401,1.13893984794092,0.0798476520591969,14.2639115687026,3.67277538168034e-46,7.70424213770703e-45
"ENSG00000183309.10",3832.42302986459,1.2266665536951,0.0862581693361938,14.2208739547222,6.79983893877619e-46,1.4149007033657e-44
"ENSG00000176853.14",5420.37024772502,1.2059015368191,0.0859581698141008,14.0289345320761,1.03697798637261e-44,2.0658274185249e-43
"ENSG00000203879.10",10113.8411842806,1.01649962031874,0.073052236127266,13.9146954864991,5.15791406372596e-44,1.00299870694312e-42
"ENSG00000068024.15",1149.18937793278,-1.20436458693973,0.0871682240924084,-13.8165552812338,2.0253219323207e-43,3.87499257608112e-42
"ENSG00000173418.10",4620.5733255936,1.00115873275608,0.0736934799218557,13.5854451956633,4.88552276544344e-42,8.92033967725298e-41
"ENSG00000035687.9",6178.21108600167,1.02171585001236,0.0754286108787161,13.5454681997949,8.4274840972889e-42,1.52481972553704e-40
"ENSG00000144597.12",2689.65342299662,1.01484855551843,0.0752208129266449,13.4915924999123,1.7527330837618e-41,3.12880290271031e-40
"ENSG00000106100.9",804.020183919473,-1.05785182612001,0.0785873238070862,-13.46084552665,2.65856469759882e-41,4.70947276629039e-40
"ENSG00000137831.13",5048.16110840479,-1.06696229932933,0.0793677092988842,-13.443279499366,3.37156646279167e-41,5.95092985425779e-40
"ENSG00000166471.9",2395.94068168175,1.05006535468145,0.0781140683158242,13.4427175196651,3.3972745549534e-41,5.99389929203997e-40
"ENSG00000107372.11",11684.21038938,-1.03860760318782,0.0773570546252024,-13.4261523815754,4.24922458109761e-41,7.47900949387985e-40
"ENSG00000124767.6",11133.5468485098,1.08088401494171,0.0806406004633541,13.4037198226581,5.75070225868142e-41,1.00533250977116e-39
"ENSG00000066777.7",9259.91092825584,1.29972476999104,0.0970193559969897,13.3965511998592,6.33387151909518e-41,1.10508463920658e-39
"ENSG00000167325.13",6590.19798782768,1.02630256103855,0.0766878926965451,13.3828499512908,7.61697598121632e-41,1.32526942210581e-39
"ENSG00000166881.8",2293.24461885716,1.09351532608251,0.0822836344981586,13.2895846513316,2.66050923310307e-40,4.52512995945233e-39
"ENSG00000167632.13",3646.97586114708,1.20032062302702,0.0905711359591356,13.2527941746098,4.34711547835453e-40,7.3454890944202e-39
"ENSG00000137076.17",26595.8331733659,-1.02165465765044,0.0771847779120434,-13.2364785555862,5.4023020247195e-40,9.09005025338087e-39
"ENSG00000183665.5",1528.1788540665,1.2185319398693,0.0923534939264821,13.1942159203994,9.47354280538299e-40,1.58133354792815e-38
"ENSG00000005156.10",2950.01855783283,1.0994914724042,0.0834953067268583,13.1683026927611,1.33566692395877e-39,2.21855941237988e-38
"ENSG00000135686.11",2876.96096222147,-1.07880049270205,0.082215714718759,-13.1215850448102,2.47699378970041e-39,4.07887587834299e-38
"ENSG00000109756.7",2545.0516977812,-1.04506536918316,0.0801278516877083,-13.0424733369393,7.0144057472155e-39,1.13258309764166e-37
"ENSG00000074696.11",13930.2882720896,1.13038578555342,0.086881093979682,13.0107222846178,1.06332264988565e-38,1.70251664047787e-37
"ENSG00000156831.6",1609.86957998063,1.06315278644046,0.0821598071795545,12.940059415147,2.67422603537018e-38,4.21879067445715e-37
"ENSG00000163840.8",7262.36825675466,1.13746518315834,0.0879573197787702,12.9320127764158,2.96941934309262e-38,4.67776640120936e-37
"ENSG00000158122.10",952.594871153595,-1.03813935735138,0.0802920069557853,-12.92954799253,3.06616134949312e-38,4.82843538872364e-37
"ENSG00000172954.12",1331.90461671851,1.02202649486848,0.079469979738284,12.8605354906883,7.50549076667996e-38,1.1631791065866e-36
"ENSG00000095370.18",984.965028399009,-1.26798617974187,0.0988944384145185,-12.8216126211979,1.24092446614189e-37,1.90501836602166e-36
"ENSG00000253669.3",78.9310483554243,1.55390475614264,0.121980202505789,12.7389914446887,3.59005721231156e-37,5.43352996398287e-36
"ENSG00000140199.10",1564.9489517108,-1.10474654514892,0.0868758302206662,-12.7163854704219,4.79534081096773e-37,7.23034120150269e-36
"ENSG00000147649.8",13243.2677621271,1.12057779078452,0.0882787037352827,12.6936366685305,6.41370798451052e-37,9.60461508702227e-36
"ENSG00000198538.9",1696.55084175381,1.04452383657029,0.0823591020703532,12.6825549370127,7.38836533921825e-37,1.10341120539881e-35
"ENSG00000155096.12",17205.4379066971,1.08584627659357,0.0858417178656135,12.6494005897399,1.12731598849565e-36,1.67504907286882e-35
"ENSG00000178719.15",20639.1658402389,1.24722286359839,0.0986607097627532,12.641535486594,1.24596696858024e-36,1.84822637339971e-35
"ENSG00000129250.10",8623.83599011248,-1.13595410712479,0.0901922211165759,-12.5948124246385,2.25495351814978e-36,3.31694684953132e-35
"ENSG00000143630.8",343.066018738577,1.29019262103035,0.102698058677349,12.5629699105006,3.37425066678449e-36,4.94518930221712e-35
"ENSG00000037897.15",1297.44037058128,1.11565718235277,0.088890670986272,12.5508916737176,3.93058749947003e-36,5.7433080953539e-35
"ENSG00000130935.8",4330.01836308507,1.03935879036154,0.0828964579858981,12.5380361913455,4.62310337109112e-36,6.73952207946827e-35
"ENSG00000121022.12",4789.48642087773,1.0116749637795,0.0807188084126078,12.5333238147936,4.90625208555893e-36,7.14282071012482e-35
"ENSG00000071794.14",4621.4910551104,1.10998402713941,0.0887807879963839,12.5025250641459,7.23171843377165e-36,1.04522342004483e-34
"ENSG00000277161.1",759.307514004431,1.05576357197753,0.0848011068244118,12.4498796243731,1.40056240672565e-35,2.00450935340191e-34
"ENSG00000132623.14",1453.47722151588,1.2407271770372,0.100167980100099,12.3864649741098,3.09383171843758e-35,4.37806563130174e-34
"ENSG00000215114.6",3215.41266770937,1.00974828474985,0.0820583383219662,12.3052489899074,8.4874286927443e-35,1.17904195050202e-33
"ENSG00000167202.10",3557.83230297125,-1.04166628789048,0.0847081094319417,-12.2971259171756,9.38545760175557e-35,1.29968634449256e-33
"ENSG00000121989.13",1087.90980521173,-1.00499609334781,0.082144853788421,-12.234437667104,2.03509352853949e-34,2.78831278184156e-33
"ENSG00000124155.15",14339.2370690839,1.0794650346481,0.0890384090449404,12.1235885302404,7.92131951527027e-34,1.06246691619246e-32
"ENSG00000136824.17",2635.72221282148,1.04151165753491,0.0859368470401816,12.1195004634965,8.32650911731674e-34,1.11613300719837e-32
"ENSG00000173846.11",1083.08038137974,-1.20317233136837,0.0997787947625274,-12.0583971196676,1.75158653375639e-33,2.31963870872492e-32
"ENSG00000134954.13",7385.34440641477,-1.26876847568445,0.105243004471874,-12.0556086559039,1.81189032609939e-33,2.39805484550306e-32
"ENSG00000105928.12",592.720721594988,-1.15344438918518,0.0959947516016805,-12.0157026289445,2.93861169493268e-33,3.8487322130207e-32
"ENSG00000051825.13",1100.17341024264,1.13322231192869,0.0944032533037737,12.0040599478301,3.38285795808267e-33,4.41872001910341e-32
"ENSG00000170846.14",1563.72089566534,1.01464350442495,0.0848560684478335,11.9572297301132,5.95144041160787e-33,7.69608766403422e-32
