"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117650.11",1577.65345474435,4.83897003055289,0.134703603876107,35.923092562568,1.33210645472466e-282,5.85687244948792e-278
"ENSG00000123500.8",9219.83434631512,7.35096708903334,0.205089184176212,35.8427828291394,2.3825234508001e-281,5.23762042806641e-277
"ENSG00000088325.14",5125.09400553882,4.10400395704279,0.116557277403335,35.2101906330679,1.39635616412457e-271,2.04645304893549e-267
"ENSG00000090889.11",1754.70361292125,4.35195485079746,0.127968441255866,34.0080320435878,1.6949545400966e-253,1.86305165661069e-249
"ENSG00000077152.8",1425.62181789713,3.71491298663445,0.110327028587885,33.6718303228408,1.49435012444201e-248,1.31404183842684e-244
"ENSG00000099953.8",17705.3894435364,6.39357851571569,0.191396184990545,33.404942298257,1.16216931088418e-244,8.51618301527409e-241
"ENSG00000166851.13",1898.59490486108,3.82891584243374,0.118954066295767,32.1881879423401,2.58245588889384e-227,1.50270179568826e-223
"ENSG00000105974.10",12448.3093012881,-4.21107618647806,0.130833960400517,-32.1864153128658,2.73423575988949e-227,1.50270179568826e-223
"ENSG00000101605.11",493.422483867831,-4.61425567095819,0.143536121512439,-32.1469998097888,9.72735404985375e-227,4.75202861677689e-223
"ENSG00000134057.13",3223.10328782322,3.18063149085853,0.099056318370752,32.109324707122,3.26728390560845e-226,1.43652671477887e-222
"ENSG00000168497.4",2024.31223144935,-5.45204910743537,0.170192055456979,-32.0346863006982,3.58765946396611e-225,1.43398748774725e-221
"ENSG00000169418.9",1749.40424056305,-4.65756314353435,0.145982090299817,-31.9050311854604,2.27375628250701e-223,8.33085353941549e-220
"ENSG00000170312.14",2925.04111542861,3.76999792675707,0.11821174978824,31.8919052760026,3.45748105502163e-223,1.16934668881643e-219
"ENSG00000133800.7",1328.36529377401,-5.99992606210545,0.188589248820503,-31.814783184253,4.04292387637748e-222,1.26968024337635e-218
"ENSG00000138180.14",1532.26008323455,3.84968449174195,0.121083940891636,31.793518309643,7.95616216609143e-222,2.33205721304361e-218
"ENSG00000175063.15",2599.64758658065,4.74087269252367,0.149344227182272,31.7445995869498,3.76971809339157e-221,9.92246507639893e-218
"ENSG00000149090.10",1050.52618890753,-4.72127071073887,0.148729328272329,-31.7440464875498,3.8365571064385e-221,9.92246507639893e-218
"ENSG00000087586.16",1700.49048825826,3.80231273528271,0.120227572718741,31.6259627413238,1.62353951959748e-219,3.96567566989681e-216
"ENSG00000022267.15",17113.1278203917,-6.05844704391672,0.193243357475641,-31.3513857503765,9.31495541771936e-216,2.15552970974141e-212
"ENSG00000186642.14",1140.96444606301,-4.05758498101896,0.129762871064792,-31.2692293852912,1.22312701524601e-214,2.68886127396607e-211
"ENSG00000137804.11",2768.89541476255,3.61581602033585,0.115858134843148,31.2089955982033,8.04447064850759e-214,1.68424400477587e-210
"ENSG00000119927.12",8280.0969891419,-4.75166040388073,0.152291037229787,-31.2011822252619,1.02682011512699e-213,2.0521000000813e-210
"ENSG00000134690.9",1483.79923552797,3.30883837248017,0.106065525195124,31.1961720492408,1.20073982193505e-213,2.26290513848634e-210
"ENSG00000136158.9",1232.23135757327,-3.63322995935858,0.116467353714691,-31.1952649689189,1.23523832246167e-213,2.26290513848634e-210
"ENSG00000152253.7",447.831765526875,3.43378618990624,0.110482943568409,31.0797855216457,4.51824715240601e-212,7.94615090199341e-209
"ENSG00000109805.8",1241.27555988491,3.66026780569394,0.118089658175857,30.9956677175162,6.1661152419659e-211,1.04271380324429e-207
"ENSG00000143228.11",1091.43645192355,4.18614962245637,0.135230700640447,30.95561586704,2.13487058675555e-210,3.47643907732894e-207
"ENSG00000163815.5",1335.98261390742,-4.96274517682275,0.160717460550509,-30.8786933281782,2.30834266636234e-209,3.62467507185547e-206
"ENSG00000109846.6",10291.2298226504,-5.71145948541598,0.185084977023302,-30.8585795415309,4.29763643977604e-209,6.51566142578045e-206
"ENSG00000080986.11",1012.06038925643,3.58881471905788,0.11655450415567,30.7908711469843,3.47211785783468e-208,5.08862019518058e-205
"ENSG00000169607.11",784.176383167097,3.9439911794062,0.128598894469131,30.6689353410648,1.4779111477183e-206,2.09610707844292e-203
"ENSG00000165304.6",1375.57658075744,4.11405155900626,0.134332497041208,30.625884649075,5.53683836745574e-206,7.6074428906852e-203
"ENSG00000105011.7",1587.3089645268,3.53444177306228,0.115706596574892,30.5465883336617,6.27643062123118e-205,8.36229773102033e-202
"ENSG00000129810.13",399.959729677612,3.88623637500425,0.127899945691455,30.3849728316492,8.67692451032865e-203,1.12205394101653e-199
