"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000179222",17175.57225138,1.4143768434471,0.0869198927600261,16.2721880864718,1.55500307681181e-59,3.70443097510439e-58,"MAGED1"
"ENSG00000177383",3522.71460649972,1.12942598582915,0.0786370519137491,14.3625168841264,8.89376290249893e-47,1.44815614129578e-45,"MAGEF1"
"ENSG00000213401",150.999169322549,9.77197457274426,0.754904962909693,12.9446421110802,2.51934555970897e-38,3.03408954457038e-37,"MAGEA12"
"ENSG00000147381",289.535082106083,8.1178851873044,0.671941271923762,12.0812421062677,1.32699833307882e-33,1.35323981839087e-32,"MAGEA4"
"ENSG00000221867",327.914069957812,9.31810981802857,0.821271872618883,11.3459502616531,7.76777767578777e-30,6.83828389079666e-29,"MAGEA3"
"ENSG00000120289",26.2631789652076,4.04022595307588,0.371291505512486,10.8815469599802,1.41146976736877e-27,1.1334466818258e-26,"MAGEB4"
"ENSG00000197172",286.138163403709,8.48892753335506,0.84179882834123,10.0842710248036,6.48447044011584e-24,4.461430468473e-23,"MAGEA6"
"ENSG00000046774",41.274942176356,6.90199019400062,0.736180090296326,9.37541001852203,6.89074192681324e-21,4.11572185566927e-20,"MAGEC2"
"ENSG00000124260",13.2274229270885,6.02249039301531,0.677148466464045,8.89389947888938,5.90010716591199e-19,3.21638607576595e-18,"MAGEA10"
"ENSG00000185247",7.95364199842126,3.83661241059935,0.435386217848898,8.81197487039164,1.22960193238272e-18,6.60706105000314e-18,"MAGEA11"
"ENSG00000214107",14.0112081771859,4.80151558273564,0.558372603182579,8.59912459058387,8.03264466613674e-18,4.16198031384063e-17,"MAGEB1"
"ENSG00000198681",104.193599026886,3.53621444475024,0.610285654707189,5.79435944049331,6.85824343747694e-09,2.11580796266478e-08,"MAGEA1"
"ENSG00000254585",63.9189767626322,-0.838369828463433,0.148610080718327,-5.64140618463471,1.68666934434768e-08,5.06000803304305e-08,"MAGEL2"
"ENSG00000267978",8.91795087850361,5.98078876611787,1.16126507177076,5.15023564516416,2.60159384033501e-07,7.12373515613343e-07,"MAGEA9B"
"ENSG00000155495",53.8085187193838,2.36642217066834,0.494654530412496,4.78398968406287,1.71849507508732e-06,4.39587303250665e-06,"MAGEC1"
"ENSG00000154545",0.520512492106878,1.35061214923373,0.298223848772347,4.52885359368003,5.93045718172045e-06,1.44668321027464e-05,"MAGED4"
"ENSG00000102316",41472.9605012569,-0.462045700412731,0.108077448741232,-4.27513515348609,1.9102137956704e-05,4.43627048944872e-05,"MAGED2"
"ENSG00000187243",0.660617478737897,1.26925543207816,0.317876608195439,3.9929186336913,6.52649685180378e-05,0.000144205033807752,"MAGED4B"
"ENSG00000198934",489.544684174268,-0.387866101018595,0.0997084836749609,-3.89000099813971,0.000100243809670111,0.000217508927268653,"MAGEE1"
"ENSG00000242520",0.767815291850009,2.08573787010717,0.538121732946169,3.87595917876786,0.000106205489954766,0.0002297573311194,"MAGEA5"
"ENSG00000182798",43.4697483001137,-1.1372482384557,0.298819910855667,-3.80579806479163,0.000141347674981989,0.000301732120551086,"MAGEB17"
"ENSG00000187601",1382.4817028102,-0.278110441766023,0.0852933118218821,-3.26063598452832,0.0011116264952255,0.00214870682498534,"MAGEH1"
"ENSG00000177689",0.411572996286061,2.24625856843134,0.983577651365656,2.28376332596872,0.0223854440988167,0.035942895523551,"MAGEB10"
