"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000198681",104.193599026886,8.84258978683277,0.589812384716615,14.9922077188687,8.25625449178201e-51,1.48122514633273e-49,"MAGEA1"
"ENSG00000155495",53.8085187193838,6.76898253006439,0.476450755074479,14.2070979171945,8.27857749944081e-46,1.2863863159074e-44,"MAGEC1"
"ENSG00000102316",41472.9605012569,1.44345641595387,0.104582020394034,13.8021469705343,2.47373906033949e-43,3.5580640734374e-42,"MAGED2"
"ENSG00000213401",150.999169322549,8.98338227029521,0.73213484950187,12.2701197414757,1.31059383377215e-34,1.37783299567872e-33,"MAGEA12"
"ENSG00000179222",17175.57225138,0.967196345231715,0.0841138788571483,11.4986534728034,1.33989383884909e-30,1.20940562924239e-29,"MAGED1"
"ENSG00000177383",3522.71460649972,0.868912179295659,0.0761004662747778,11.4179613060222,3.40118840077457e-30,3.01677856032835e-29,"MAGEF1"
"ENSG00000221867",327.914069957812,8.1750097407073,0.795368039197477,10.2782728722113,8.82956246604789e-25,6.28142982628748e-24,"MAGEA3"
"ENSG00000046774",41.274942176356,7.10360022495545,0.713661713173011,9.95373591413801,2.42889926258642e-23,1.63115894931047e-22,"MAGEC2"
"ENSG00000186675",8.08536616978312,-2.01027136836171,0.211849808619897,-9.4891346914953,2.3295998705068e-21,1.43332633254082e-20,"MAGEE2"
"ENSG00000197172",286.138163403709,7.44876725340417,0.815038407287277,9.13916103438141,6.29386888919467e-20,3.62778902838444e-19,"MAGEA6"
"ENSG00000182798",43.4697483001137,2.03739060061784,0.28552331157137,7.1356366294756,9.6340208520581e-13,3.81538783953573e-12,"MAGEB17"
"ENSG00000120289",26.2631789652076,-2.25722534708162,0.372031104842719,-6.06730275425732,1.3007621643169e-09,4.21897104402182e-09,"MAGEB4"
"ENSG00000176746",1.02503227690736,2.95727301576911,0.587677149296468,5.03213885261556,4.85037743957837e-07,1.30571392677022e-06,"MAGEB6"
"ENSG00000124260",13.2274229270885,3.30317749091239,0.657711683941186,5.02222717273145,5.10757203513368e-07,1.37138781774928e-06,"MAGEA10"
"ENSG00000099399",3.66023688574927,2.74256385826508,0.549293415005308,4.99289411331933,5.94811716311398e-07,1.58806190287924e-06,"MAGEB2"
"ENSG00000185247",7.95364199842126,1.93177870130172,0.424167737424301,4.55428013698584,5.25652690779247e-06,1.2986608226983e-05,"MAGEA11"
"ENSG00000156009",10.7905055625909,1.0796322160987,0.250470700316906,4.31041321293352,1.62949771699144e-05,3.84777878875518e-05,"MAGEA8"
"ENSG00000147381",289.535082106083,2.77113206579542,0.650777774673155,4.25818485763006,2.06093496173542e-05,4.81714909374214e-05,"MAGEA4"
"ENSG00000230899",4.01945927530975,1.1054160952499,0.266863722461661,4.14224940375217,3.43916056098199e-05,7.87987072310909e-05,"MAGEA8-AS1"
"ENSG00000176774",0.597058918941286,2.62911938669555,0.766308210940595,3.43089027255557,0.000601603894906493,0.00120803727436725,"MAGEB18"
"ENSG00000254585",63.9189767626322,-0.478066785205455,0.143263318242723,-3.33697970331451,0.00084694132920202,0.00167077344024787,"MAGEL2"
"ENSG00000189023",0.819853679360445,2.43700051482935,0.861184462474922,2.82982406327415,0.00465736073287545,0.00837009532321708,"MAGEB16"
"ENSG00000214107",14.0112081771859,1.5092433393628,0.542951183117502,2.77970356505547,0.00544085402719372,0.00968340751092127,"MAGEB1"
