"","id","data_format","cases","access","file_name","submitter_id","data_category","type","platform","file_size","created_datetime","md5sum","updated_datetime","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","analysis_workflow_version","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"2","0ed77a2e-a2c9-4557-8ba3-2c8bade9b792","TSV","TCGA-A2-A04U-01A-11R-A115-07","open","5842a066-d158-474e-a4db-034f5797d865.rna_seq.augmented_star_gene_counts.tsv","f54886f4-2ae3-4e7a-97c2-ec2af99cf2a3","Transcriptome Profiling","gene_expression","Illumina",4228051,"2021-12-13T22:29:16.383250-06:00","2e711c88d20f77ee4f2f2a19f42d4ef1","2024-07-30T10:00:43.148576-05:00","0ed77a2e-a2c9-4557-8ba3-2c8bade9b792","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","24a96793-e343-40f7-b5b4-9c530101980f","released","5842a066-d158-474e-a4db-034f5797d865_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A2-A04U","TCGA-A2-A04U-01A"
"3","1ace2a0c-773d-45b5-8fd6-968c88731bbb","TSV","TCGA-AN-A04A-01A-21R-A034-07","open","c33ecc28-d5ba-4416-b93d-445b7883b6e8.rna_seq.augmented_star_gene_counts.tsv","0493c6f8-6fbb-442e-9383-ab14fa92524d","Transcriptome Profiling","gene_expression","Illumina",4239626,"2021-12-13T21:50:59.669979-06:00","ff767304460d3385c372d7e0818cb45a","2024-07-30T09:50:53.688978-05:00","1ace2a0c-773d-45b5-8fd6-968c88731bbb","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","fdc5b6ca-5e83-4318-bedd-7c376f9654e0","released","c33ecc28-d5ba-4416-b93d-445b7883b6e8_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-AN-A04A","TCGA-AN-A04A-01A"
"4","50c7c034-fccb-4eb1-b8db-e0a5d9e50172","TSV","TCGA-A7-A13D-01A-13R-A12P-07","open","d820ac02-a30e-437b-b20a-3e92705b7b81.rna_seq.augmented_star_gene_counts.tsv","3d55e3dd-49b0-49d9-8da4-be89cfc3ffd9","Transcriptome Profiling","gene_expression","Illumina",4237798,"2021-12-13T22:00:49.329787-06:00","02094f85d2455a5a0d197798716cc7af","2024-07-30T09:54:45.864729-05:00","50c7c034-fccb-4eb1-b8db-e0a5d9e50172","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","956091b5-f1b3-4294-82d4-abbe7d785f22","released","d820ac02-a30e-437b-b20a-3e92705b7b81_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A7-A13D","TCGA-A7-A13D-01A"
"5","9415696a-44d9-477f-aba3-0a30ded48778","TSV","TCGA-BH-A201-01A-11R-A14M-07","open","3c3c4741-8eda-46fe-8d36-2cd683f4a987.rna_seq.augmented_star_gene_counts.tsv","10cf9ccb-de23-4458-b4ea-d7f17debb899","Transcriptome Profiling","gene_expression","Illumina",4252245,"2021-12-13T22:36:12.423398-06:00","499716ba48c06fbb26cfac299f5d70c9","2024-07-30T09:55:01.628083-05:00","9415696a-44d9-477f-aba3-0a30ded48778","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","97b0ba88-1c3e-41c9-97a9-efad17b0776f","released","3c3c4741-8eda-46fe-8d36-2cd683f4a987_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-BH-A201","TCGA-BH-A201-01A"
"8","2fa144d0-2776-46d9-a7d4-41f68a1d3727","TSV","TCGA-A2-A04R-01A-41R-A109-07","open","89424841-6b5a-4f5f-b5c2-209630c6f597.rna_seq.augmented_star_gene_counts.tsv","41fc9198-be2f-495e-bfc1-1fab0c03b12b","Transcriptome Profiling","gene_expression","Illumina",4237107,"2021-12-13T22:27:23.694430-06:00","ceb5280fa26e533912417a354cd6794b","2024-07-30T09:38:15.772875-05:00","2fa144d0-2776-46d9-a7d4-41f68a1d3727","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","56bcfbb6-77de-4ab3-9627-86be6735da40","released","89424841-6b5a-4f5f-b5c2-209630c6f597_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A2-A04R","TCGA-A2-A04R-01A"
"9","a2837f64-2441-4d31-befc-514f8526b1f7","TSV","TCGA-AN-A03X-01A-21R-A00Z-07","open","1729f18b-f4d7-4e1c-af9f-2c651023e7fc.rna_seq.augmented_star_gene_counts.tsv","0807e212-9893-4a01-9e0b-b17e409026f5","Transcriptome Profiling","gene_expression","Illumina",4221177,"2021-12-13T22:34:21.572074-06:00","f860ac2a0731f184169800dab28697fc","2024-07-30T09:46:50.795907-05:00","a2837f64-2441-4d31-befc-514f8526b1f7","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","b78fed9c-ed77-4ebb-9773-a572fc3f2983","released","1729f18b-f4d7-4e1c-af9f-2c651023e7fc_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-AN-A03X","TCGA-AN-A03X-01A"
"12","6d0f2c52-47f8-4032-8468-38dcc578ed6a","TSV","TCGA-S3-A6ZF-01A-32R-A32P-07","open","e4559121-091f-41f2-9559-2abb1bbfd229.rna_seq.augmented_star_gene_counts.tsv","25bb241c-d2b0-4b1e-84bd-f208d6230770","Transcriptome Profiling","gene_expression","Illumina",4249152,"2021-12-13T22:29:08.169677-06:00","418350a11820312a22abfa095a20a5ec","2024-07-30T10:03:38.149872-05:00","6d0f2c52-47f8-4032-8468-38dcc578ed6a","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","6c77e2fa-68ce-431a-8386-810ca3266d19","released","e4559121-091f-41f2-9559-2abb1bbfd229_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-S3-A6ZF","TCGA-S3-A6ZF-01A"
"17","26466526-2d6e-4869-a06a-c33344e5fab2","TSV","TCGA-D8-A1X5-01A-11R-A14D-07","open","586df577-513d-4d43-ac47-89c52f322d30.rna_seq.augmented_star_gene_counts.tsv","60ca8324-d7be-4f4e-b052-1cea4925b33a","Transcriptome Profiling","gene_expression","Illumina",4235242,"2021-12-13T22:14:50.862150-06:00","5efb673d8416606432b362299859ea1e","2024-07-30T10:08:31.101586-05:00","26466526-2d6e-4869-a06a-c33344e5fab2","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","86b6f9e8-300e-43ea-b34b-b28b5057972c","released","586df577-513d-4d43-ac47-89c52f322d30_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-D8-A1X5","TCGA-D8-A1X5-01A"
"18","3ce988e2-61c5-4f53-b9c8-cfc280649c1f","TSV","TCGA-BH-A1F8-01A-11R-A13Q-07","open","8d2f240f-43c3-4e0d-a6cc-79f6b174dace.rna_seq.augmented_star_gene_counts.tsv","415920ba-141b-49a9-aef5-5364d3e9fdf9","Transcriptome Profiling","gene_expression","Illumina",4246409,"2021-12-13T22:00:56.004895-06:00","baeed408238645d8c71ef319050fd06d","2024-07-30T09:49:48.765269-05:00","3ce988e2-61c5-4f53-b9c8-cfc280649c1f","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","689e882f-95c8-422b-9e14-54026dd4b82a","released","8d2f240f-43c3-4e0d-a6cc-79f6b174dace_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-BH-A1F8","TCGA-BH-A1F8-01A"
"20","406cb497-badd-4bbe-be62-e1dac7b49180","TSV","TCGA-LD-A9QF-01A-32R-A41B-07","open","49563aad-aeb3-4a9b-8849-a60c119cbaa4.rna_seq.augmented_star_gene_counts.tsv","20a36eda-fde7-48ec-aa1d-7ca63285118e","Transcriptome Profiling","gene_expression","Illumina",4238311,"2021-12-13T22:05:01.347555-06:00","396d90c1fcaa36efc71992fd5f6532de","2024-07-30T09:35:44.555387-05:00","406cb497-badd-4bbe-be62-e1dac7b49180","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","198b0458-3978-46a2-a7b4-f57fb4ddcbb8","released","49563aad-aeb3-4a9b-8849-a60c119cbaa4_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-LD-A9QF","TCGA-LD-A9QF-01A"
