Patient,MAGEA9,MAGEA10,MAGEA4,MAGEA8,MAGEA2B,MAGEA13P,MAGEA11,MAGEA6,MAGEA1,MAGEA12,MAGEA3,MAGEA7P,MAGEA4-AS1,MAGEA8-AS1,MAGEA5,MAGEA10-MAGEA5,MAGEA9B,MAGEA2
TCGA-D8-A146-01A-31R-A115-07,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
TCGA-AQ-A0Y5-01A-11R-A14M-07,0,1,1,9,0,0,2,0,0,1,0,0,1,1,1,1,0,0
TCGA-C8-A274-01A-11R-A16F-07,0,4,17,79,0,0,0,0,2274,0,0,0,0,22,2,7,0,0
TCGA-B6-A1KC-01B-11R-A157-07,0,0,33,12,0,0,1,0,0,1,0,0,0,1,2,6,1,0
TCGA-A2-A0YM-01A-11R-A109-07,0,0,0,22,0,0,2,0,0,0,0,0,2,7,1,0,0,0
TCGA-AO-A03N-01B-11R-A10J-07,0,0,0,0,0,0,0,23,304,7,0,0,0,0,0,0,0,0
TCGA-E2-A1LI-01A-12R-A157-07,2,0,435,4,0,0,0,0,0,2,0,0,35,6,0,0,131,0
TCGA-BH-A18L-11A-42R-A12D-07,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0
TCGA-B6-A0WV-01A-11R-A109-07,0,0,0,2,0,0,5,0,1,1,2,0,0,1,0,0,0,0
TCGA-E2-A1LE-01A-12R-A19W-07,0,0,20,5,0,0,6,5,35,1198,0,0,1,1,1,1,0,0
TCGA-AN-A0AK-01A-21R-A00Z-07,0,0,0,7,0,0,4,26,100,93,311,0,0,0,0,0,0,2
TCGA-3C-AALJ-01A-31R-A41B-07,0,0,1,2,0,0,0,0,5,0,0,0,0,3,0,0,0,0
TCGA-AO-A03O-01A-11R-A00Z-07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TCGA-E9-A22A-01A-11R-A157-07,0,2,0,2,0,0,12,0,0,2,0,0,0,0,0,0,0,0
TCGA-AR-A0TW-01A-11R-A084-07,0,0,0,3,0,0,4,115,24,56,113,0,0,1,0,0,0,0
TCGA-BH-A1FE-01A-11R-A13Q-07,0,0,6,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0
TCGA-BH-A1FE-11B-14R-A13Q-07,0,2,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0
TCGA-A2-A3XX-01A-21R-A239-07,0,28,65,1,0,0,1,0,0,0,0,0,8,2,0,0,0,0
TCGA-AN-A0FL-01A-11R-A034-07,0,0,3,1474,0,0,84,0,0,0,0,0,0,29,0,0,0,0
TCGA-D8-A1Y2-01A-11R-A157-07,0,0,3,1,0,0,0,1,293,0,0,0,0,0,0,0,0,0
TCGA-C8-A138-01A-11R-A115-07,0,0,0,12,2,0,36,27,8,103,66,0,0,1,0,0,0,0
TCGA-AR-A255-01A-11R-A169-07,0,0,1,3,0,0,0,0,11,1,0,0,1,0,0,0,0,0
TCGA-E2-A108-01A-13R-A10J-07,0,2,2,0,0,0,2,1,19,0,0,0,0,0,0,1,0,0
TCGA-E2-A1IN-01A-11R-A13Q-07,0,0,0,1,0,0,2,0,330,5,0,0,0,0,0,0,0,0
TCGA-E9-A1QZ-01A-21R-A169-07,0,0,0,0,0,0,0,3,93,2,3,0,0,0,0,0,0,0
TCGA-BH-A0W7-01A-11R-A115-07,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
TCGA-A2-A0YT-01A-11R-A109-07,1,0,3,8,0,0,26,8,7,7,21,0,1,0,0,0,0,0
TCGA-C8-A131-01A-11R-A115-07,0,0,16,0,0,0,0,77,1,0,112,0,0,0,0,1,0,0
TCGA-3C-AALK-01A-11R-A41B-07,0,0,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0
TCGA-A2-A0CV-01A-31R-A115-07,0,0,0,12,0,0,0,0,44,0,0,0,0,5,0,0,0,0
TCGA-C8-A12Q-01A-11R-A115-07,0,1349,10,33,2,0,1,711,4,413,648,0,0,8,11,26,0,3
TCGA-BH-A1F6-11B-94R-A13Q-07,0,2,0,4,0,1,3,0,0,0,0,1,0,3,0,3,0,0
TCGA-AN-A0XP-01A-11R-A109-07,0,1,0,14,0,0,0,0,8,0,0,0,0,11,0,0,0,0
TCGA-AN-A046-01A-21R-A034-07,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0
TCGA-A7-A4SF-01A-11R-A266-07,0,0,0,6,0,0,0,1,3,0,9,0,0,5,0,0,0,0
TCGA-LL-A740-01A-21R-A32P-07,0,2,0,0,0,0,3,14,17,9,23,0,0,1,0,1,1,2
TCGA-E9-A1N6-11A-32R-A144-07,1,1,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0
TCGA-EW-A6SB-01A-12R-A32P-07,0,0,0,1,0,0,1,0,2,2,0,0,0,2,0,0,0,0
TCGA-A2-A0EV-01A-11R-A034-07,0,136,2,6,0,1,1921,2292,704,1791,2035,0,0,0,0,0,0,12
TCGA-AR-A0U4-01A-11R-A109-07,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TCGA-PL-A8LY-01A-11R-A41B-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-A7-A0CH-11A-32R-A089-07,0,0,7,10,0,0,15,3,1,0,5,0,1,0,0,5,3,0
TCGA-D8-A1JA-01A-11R-A13Q-07,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0
TCGA-A1-A0SO-01A-22R-A084-07,0,0,5115,1,15,0,0,2819,1,9,590,0,37,0,0,0,0,14
TCGA-BH-A18N-11A-43R-A12D-07,0,2,0,9,0,0,0,0,0,0,0,1,0,5,0,0,0,0
TCGA-A7-A13G-11A-51R-A13Q-07,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-A7-A26J-01A-11R-A277-07,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
TCGA-GM-A2D9-01A-11R-A18M-07,0,0,0,17,0,0,1,0,1,0,0,0,0,8,0,0,0,0
TCGA-LL-A5YP-01A-21R-A28M-07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TCGA-A7-A26J-01B-02R-A277-07,0,1,0,9,0,0,1,0,19,1,0,0,0,1,0,0,1,0
TCGA-E2-A1IU-01A-11R-A14D-07,0,0,1,4,0,0,13,30,38,30,0,0,0,2,0,0,0,0
TCGA-B6-A0IQ-01A-11R-A034-07,32,0,0,30,0,0,6,0,0,0,0,0,0,19,1,1,28,0
TCGA-BH-A5IZ-01A-11R-A27Q-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-BH-A204-01A-11R-A157-07,0,0,0,0,0,0,3,210,3,36,110,0,0,3,0,0,0,1
TCGA-LL-A7SZ-01A-32R-A352-07,0,0,1,0,0,0,3,0,0,0,1,0,2,1,0,0,1,0
TCGA-D8-A1XZ-01A-11R-A14M-07,0,0,0,296,0,0,703,382,781,15,382,0,0,2,1,1,0,0
TCGA-E2-A1LL-01A-11R-A144-07,0,0,0,1,10,0,2,2868,3,1787,1624,0,0,0,0,0,0,22
TCGA-S3-AA12-01A-11R-A41B-07,0,0,0,11,0,0,12,17,3386,43,38,0,0,4,0,0,0,0
TCGA-A7-A13F-11A-42R-A12P-07,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0
TCGA-A2-A3XY-01A-11R-A239-07,0,0,82,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
