Call: survfit(formula = as.formula(paste("surv_object ~", cat_var)), 
    data = filtered_data)

                treatments_radiation_treatment_or_therapy=no 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0     50       0    1.000  0.0000        1.000         1.00
    1     40       1    0.977  0.0225        0.934         1.00
    2     27       0    0.977  0.0225        0.934         1.00
    3     22       0    0.977  0.0225        0.934         1.00
    4     16       1    0.926  0.0544        0.825         1.00
    5     11       1    0.855  0.0849        0.703         1.00
    6      9       1    0.769  0.1114        0.579         1.00
    7      6       1    0.673  0.1326        0.457         0.99
    8      5       0    0.673  0.1326        0.457         0.99
    9      1       0    0.673  0.1326        0.457         0.99
   10      1       0    0.673  0.1326        0.457         0.99

                treatments_radiation_treatment_or_therapy=not reported 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0     15       0    1.000  0.0000        1.000            1
    1      8       1    0.917  0.0798        0.773            1
    2      6       0    0.917  0.0798        0.773            1
    3      5       1    0.764  0.1545        0.514            1
    4      3       1    0.573  0.2019        0.287            1
    5      2       1    0.382  0.2060        0.133            1
    6      2       0    0.382  0.2060        0.133            1

                treatments_radiation_treatment_or_therapy=yes 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0     58       0    1.000  0.0000        1.000        1.000
    1     52       0    1.000  0.0000        1.000        1.000
    2     29       3    0.915  0.0472        0.827        1.000
    3     21       2    0.841  0.0665        0.720        0.982
    4     12       1    0.781  0.0846        0.631        0.966
    5     10       0    0.781  0.0846        0.631        0.966
    6      7       0    0.781  0.0846        0.631        0.966
    7      6       1    0.669  0.1262        0.463        0.969
    8      6       0    0.669  0.1262        0.463        0.969
    9      4       0    0.669  0.1262        0.463        0.969
   10      2       0    0.669  0.1262        0.463        0.969
   11      1       0    0.669  0.1262        0.463        0.969

