"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000123500.8",8951.48198819157,7.49596085598264,0.234800009748506,31.9248745518007,1.20624541137798e-223,4.99747473933897e-219
"ENSG00000099953.8",17588.5409205955,6.76783137164641,0.218173802205107,31.0203668050114,2.86453031363033e-211,5.93387454468523e-207
"ENSG00000090889.11",1749.71177075791,4.4542261529648,0.145908305798099,30.5275709192892,1.12251767498063e-204,1.55019690914824e-200
"ENSG00000088325.14",5130.57609608215,3.94862992778167,0.133325876870233,29.6163807092369,9.19503787252104e-193,9.52376047646367e-189
"ENSG00000117650.11",1588.60101646258,4.51715194465059,0.157304548815907,28.7159651685406,2.4111900167063e-181,1.99791204784284e-177
"ENSG00000138180.14",1552.30056703277,3.99249189675805,0.139185066272629,28.6847720353688,5.90889628535535e-181,4.08009288503787e-177
"ENSG00000077152.8",1443.45507497851,3.6802137663227,0.128688888014564,28.5977586961993,7.16405947348194e-180,4.24009977123367e-176
"ENSG00000087586.16",1684.67716295728,3.92965941121807,0.139370582186384,28.1957594606503,6.59128695091215e-175,3.41346272970363e-171
"ENSG00000011426.9",2994.45406914255,4.17250276362779,0.149025660754401,27.9985523466606,1.6920714386704e-172,7.78916885601275e-169
"ENSG00000171848.12",3516.50408575989,4.59523778426956,0.164647051157085,27.9096269989395,2.03881461277557e-171,8.44680894072919e-168
"ENSG00000123485.10",977.500201618662,4.06806393103104,0.146986946993776,27.6763618418669,1.34463406036202e-168,5.06438082916351e-165
"ENSG00000170312.14",2939.35779862289,3.82235072096249,0.138794348555983,27.5396711806369,5.88397801305338e-167,2.03144340900668e-163
"ENSG00000134690.9",1496.79308559782,3.34354631360308,0.121453206835945,27.529502107914,7.78814442624564e-167,2.48202171984121e-163
"ENSG00000169679.13",1756.33021818723,3.78345888332198,0.138256302772907,27.3655436131293,7.05435226896397e-165,2.08758438930841e-161
"ENSG00000186871.6",452.394500841197,3.59989520436694,0.131952742874232,27.2817004478498,6.99376469456251e-164,1.93167780863816e-160
"ENSG00000166851.13",1914.93252537163,3.77984634232386,0.138693053356813,27.2533212791814,1.51785959135258e-163,3.93030767935857e-160
"ENSG00000175063.15",2583.29026096379,4.6984255504126,0.173572228408169,27.0689936604597,2.28290935829728e-161,5.56358439495626e-158
"ENSG00000165304.6",1387.07809833005,4.1771670501846,0.154694279861165,27.0027246898433,1.37293202722398e-160,3.16003188266053e-157
"ENSG00000146410.10",266.924624636537,3.71461518939963,0.138752997341099,26.7714230364906,6.95445314412564e-158,1.51643680926908e-154
"ENSG00000060718.17",12861.9696720914,6.8160788883592,0.256528744596769,26.5704293648387,1.49157014248351e-155,3.08978755015458e-152
"ENSG00000137804.11",2802.96032712225,3.56373783234216,0.134530409171777,26.4902028789026,1.25695699617753e-154,2.47979658817309e-151
"ENSG00000121152.8",1015.38313431009,3.47553527638537,0.132276046591358,26.2748650715453,3.71663780439431e-152,6.99910473800255e-149
"ENSG00000076382.15",2330.49217180364,3.67635382367525,0.139979321466825,26.2635493953765,5.00532729652071e-152,9.01611782151536e-149
"ENSG00000142945.11",1798.11315874491,3.72123938566586,0.141787874172118,26.2451172739116,8.12646405444164e-152,1.40283085739799e-148
"ENSG00000100526.18",638.88797674326,3.60293627544187,0.137441860844015,26.2142570925383,1.82789833320304e-151,3.02919311778407e-148
"ENSG00000134057.13",3206.93341305545,2.99787700668374,0.11459984935517,26.1595196115194,7.68027512856836e-151,1.22382230221764e-147
"ENSG00000105011.7",1610.4169190737,3.53072604201854,0.135125948921997,26.1291489176273,1.70105752491817e-150,2.61017826879111e-147
